,precision,recall,f1-score,support
0,1.0,1.0,1.0,44.0
1,1.0,0.9772727272727273,0.9885057471264368,44.0
2,0.9777777777777777,1.0,0.9887640449438202,44.0
3,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0
4,1.0,1.0,1.0,44.0
5,1.0,0.9772727272727273,0.9885057471264368,44.0
6,1.0,0.9772727272727273,0.9885057471264368,44.0
7,1.0,1.0,1.0,44.0
8,0.9777777777777777,1.0,0.9887640449438202,44.0
9,0.9777777777777777,1.0,0.9887640449438202,44.0
10,1.0,1.0,1.0,44.0
11,1.0,0.9772727272727273,0.9885057471264368,44.0
12,1.0,0.9318181818181818,0.9647058823529412,44.0
13,0.88,1.0,0.9361702127659575,44.0
14,0.9777777777777777,1.0,0.9887640449438202,44.0
15,1.0,1.0,1.0,44.0
16,1.0,1.0,1.0,44.0
17,1.0,1.0,1.0,44.0
18,1.0,1.0,1.0,44.0
19,1.0,1.0,1.0,44.0
20,0.9565217391304348,1.0,0.9777777777777777,44.0
21,1.0,1.0,1.0,44.0
22,1.0,0.8863636363636364,0.9397590361445783,44.0
23,1.0,1.0,1.0,44.0
24,1.0,1.0,1.0,44.0
25,1.0,1.0,1.0,44.0
accuracy,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636
macro avg,0.9894194452890104,0.9886363636363638,0.9886448001767311,1144.0
weighted avg,0.9894194452890105,0.9886363636363636,0.988644800176731,1144.0
