,precision,recall,f1-score,support
0,1.0,1.0,1.0,280.0
1,1.0,1.0,1.0,283.0
2,0.9963898916967509,1.0,0.9981916817359855,276.0
3,1.0,0.9964285714285714,0.998211091234347,280.0
4,1.0,1.0,1.0,281.0
5,0.9964285714285714,1.0,0.998211091234347,279.0
6,0.9928571428571429,1.0,0.996415770609319,278.0
7,1.0,0.9964788732394366,0.9982363315696648,284.0
8,1.0,0.9928057553956835,0.9963898916967509,278.0
9,1.0,1.0,1.0,281.0
accuracy,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
macro avg,0.9985675605982465,0.9985713200063693,0.9985655858080413,2800.0
weighted avg,0.9985790954468429,0.9985714285714286,0.9985714273021442,2800.0
