,precision,recall,f1-score,support
0,1.0,0.9964285714285714,0.998211091234347,280.0
1,0.9964788732394366,1.0,0.9982363315696648,283.0
2,0.9963898916967509,1.0,0.9981916817359855,276.0
3,1.0,0.9857142857142858,0.9928057553956835,280.0
4,1.0,0.9928825622775801,0.9964285714285714,281.0
5,1.0,1.0,1.0,279.0
6,0.9928571428571429,1.0,0.996415770609319,278.0
7,0.9929824561403509,0.9964788732394366,0.9947275922671354,284.0
8,1.0,0.9964028776978417,0.9981981981981982,278.0
9,0.9894366197183099,1.0,0.9946902654867257,281.0
accuracy,0.9967857142857143,0.9967857142857143,0.9967857142857143,0.9967857142857143
macro avg,0.9968144983651991,0.9967907170357716,0.9967905257925631,2800.0
weighted avg,0.9968071873693051,0.9967857142857143,0.9967843627697537,2800.0
